# N threads serial_time reduction_time critical_time speedup_reduction speedup_critical efficiency_reduction efficiency_critical
100000 1 0.0117099 0.011779 0.201366 1 1 1 1
100000 2 0.01173 0.00620433 0.59246 1.89851 0.339881 0.949257 0.16994
100000 4 0.0117363 0.00341971 1.04716 3.44445 0.192297 0.861112 0.0480743
100000 8 0.0117358 0.0023669 1.70354 4.97655 0.118204 0.622069 0.0147755
100000 16 0.0117365 0.0027167 2.36127 4.33578 0.0852784 0.270986 0.0053299
100000 20 0.0117366 0.00328886 2.55047 3.58149 0.0789522 0.179074 0.00394761


1000000 1 0.117196 0.117176 2.00917 1 1 1 1
1000000 2 0.117303 0.0591432 5.81924 1.98122 0.345264 0.990609 0.172632
1000000 4 0.117307 0.0299795 10.7888 3.90853 0.186228 0.977131 0.0465571
1000000 8 0.117313 0.0158061 15.593 7.41331 0.128851 0.926664 0.0161064
1000000 16 0.117309 0.00960148 23.6924 12.2039 0.0848025 0.762745 0.00530015
1000000 20 0.117323 0.00862549 24.877 13.5848 0.0807641 0.67924 0.00403821


10000000 1 1.33948 1.34143 20.147 1 1 1 1
10000000 2 1.33599 0.872383 69.7132 1.53766 0.288998 0.768829 0.144499
10000000 4 1.33721 0.642276 114.886 2.08855 0.175365 0.522138 0.0438413
10000000 8 1.33204 0.574837 156.87 2.33358 0.128432 0.291697 0.0160539
10000000 16 1.33686 0.585701 233.029 2.29029 0.0864571 0.143143 0.00540357
10000000 20 1.34034 0.545087 447.925 2.46094 0.0449786 0.123047 0.00224893


100000000 1 13.348 13.4049 201.647 1 1 1 1
100000000 2 13.3659 6.99816 954.091 1.91548 0.21135 0.957741 0.105675
100000000 4 13.3329 6.31381 1492.07 2.1231 0.135145 0.530775 0.0337863
100000000 8 13.3399 6.62361 1716.09 2.0238 0.117504 0.252975 0.014688
100000000 16 13.3936 4.50533 2281.69 2.97533 0.0883759 0.185958 0.00552349
100000000 20 13.5022 5.22518 4498.93 2.56543 0.044821 0.128272 0.00224105


1000000000 1 134.103 134.786 2015.24 1 1 1 1
1000000000 2 134.092 69.4012 9293.01 1.94213 0.216855 0.971064 0.108428
1000000000 4 134.145 64.6123 14501.1 2.08607 0.138971 0.521519 0.0347427
1000000000 8 134.399 56.3267 15100.1 2.39293 0.133458 0.299117 0.0166823
1000000000 16 134.347 45.9302 22950.9 2.93458 0.0878064 0.183411 0.0054879
1000000000 20 133.426 49.3207 38167.1 2.73285 0.0528004 0.136643 0.00264002

