# N threads serial_time reduction_time critical_time speedup_reduction speedup_critical
100000 1 0.0117232 0.0117491 0.200989 0.997797 0.0583275
100000 2 0.0117936 0.00616241 1.11472 1.91379 0.0105798
100000 4 0.011728 0.00341662 1.51276 3.43262 0.00775267
100000 8 0.0117293 0.00236234 1.87084 4.96512 0.00626955
100000 16 0.0117356 0.00251613 2.60651 4.66413 0.0045024
100000 20 0.0117263 0.00453098 2.9538 2.58804 0.00396992

1000000 1 0.116949 0.116873 2.00871 1.00065 0.0582211
1000000 2 0.117342 0.0590842 9.94437 1.98601 0.0117998
1000000 4 0.117329 0.030181 14.7419 3.8875 0.00795887
1000000 8 0.1173 0.0159408 18.6796 7.35848 0.00627956
1000000 16 0.117273 0.00956853 26.1996 12.2561 0.00447615
1000000 20 0.117272 0.0196906 29.7198 5.95573 0.00394593

10000000 1 1.36341 1.34994 20.1671 1.00998 0.0676058
10000000 2 1.36367 0.860323 90.9672 1.58507 0.0149908
10000000 4 1.36461 0.840491 135.965 1.62359 0.0100365
10000000 8 1.36255 0.660693 185.449 2.06231 0.00734731
10000000 16 1.36254 0.606923 261.136 2.245 0.00521775
10000000 20 1.36267 0.55203 295.575 2.46847 0.00461023

